candidate_id,candidate_name,spender_id,spender_name,election_type,candidate_state,candidate_district,candidate_office,candidate_party,expenditure_amount,expenditure_date,aggregate_amount,support_or_oppose,purpose,payee,file_number,amendment_indicator,transaction_id,image_number,receipt_date,election_year,previous_file_number,dissemination_date
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,0,S,DEMOCRATIC PARTY,140000,1-Aug-24,543429,O,Media Placement/Text Messaging,Apex Strategies LLC,1807333,N,SE.4153,202e15,1-Aug-24,2024,NA,30-Jul-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,0,S,DEMOCRATIC PARTY,23571.5,2-Jul-24,47143,O,"Mail Printing, Production, & Postage",Pathfinder Communications,1794189,N,SE.4114,202e15,7-Jul-24,2024,NA,5-Jul-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,0,S,DEMOCRATIC PARTY,23571.5,NA,590572,O,"Mail printing, production, & postage",Pathfinder Communications,1808395,N,SE.4156,202e15,7-Aug-24,2024,NA,5-Aug-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,0,S,DEMOCRATIC PARTY,23571.5,23-Jul-24,263429,O,"Mail printing, production, & postage",Pathfinder Communications,1806554,N,SE.4135,202e15,27-Jul-24,2024,NA,25-Jul-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,0,S,DEMOCRATIC PARTY,23571.5,15-Jul-24,216286,O,"Mail printing, production, & postage",Pathfinder Communications,1802972,N,SE.4127,202e15,17-Jul-24,2024,NA,15-Jul-24
S6MT00162,"TESTER, R. JON",C00881482,1889 PAC,G,MT,0,S,DEMOCRATIC PARTY,61000,15-Jul-24,169143,O,Media Placement & Production,Apex Strategies LLC,1802972,N,SE.4126,202e15,17-Jul-24,2024,NA,15-Jul-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,G,MT,0,S,DEMOCRATIC PARTY,44.54,NA,745.18,S,PHONEBANK IT/TECH SUPPORT(ESTIMATE),WIRED4DATA,1812629,A2,SE-S1639433,202e15,22-Aug-24,2024,1809071,11-Jul-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,G,MT,0,S,DEMOCRATIC PARTY,9.12,NA,398.75,S,CAGING AND DATABASE SERVICES(ESTIMATE),STANDARD DATA SERVICES LLC,1812630,A2,SE-S1633235,202e15,22-Aug-24,2024,1809072,4-Jul-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,P,MT,0,S,DEMOCRATIC PARTY,33.4,NA,1903.49,S,PHONEBANK PAYROLL SERVICES(ESTIMATE),LAV SERVICES LLC,1812641,A2,SE-S1597057,202e15,22-Aug-24,2024,1809084,14-Mar-24
S6MT00162,"TESTER, R. JON",C00809467,AMERICAN POLICE AND TROOPERS COALITION PAC,P,MT,0,S,DEMOCRATIC PARTY,35.15,NA,1903.49,S,LEADS / PHONE LISTS(ESTIMATE),CLOUD DATA SERVICES,1812641,A2,SE-S1597049,202e15,22-Aug-24,2024,1809084,14-Mar-24
