cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,120451.5,08-SEP-20,822854.6,S,Digital Advertising,A/B Partners,1445692,N,SE.4155,202010099285100269,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,120451.5,08-SEP-20,702403.1,S,Digital Advertising,A/B Partners,1445692,N,SE.4154,202010099285100269,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,120451.5,08-SEP-20,581951.6,S,Digital Advertising,A/B Partners,1445692,N,SE.4153,202010099285100268,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,120451.5,08-SEP-20,461500.1,S,Digital Advertising,A/B Partners,1445692,N,SE.4152,202010099285100268,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,85262.15,08-SEP-20,341048.6,S,Digital Advertising,A/B Partners,1445692,N,SE.4151,202010099285100267,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,85262.15,08-SEP-20,255786.45,S,Digital Advertising,A/B Partners,1445692,N,SE.4150,202010099285100267,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,85262.15,08-SEP-20,170524.3,S,Digital Advertising,A/B Partners,1445692,N,SE.4149,202010099285100266,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,85262.15,08-SEP-20,85262.15,S,Digital Advertising,A/B Partners,1445692,N,SE.4148,202010099285100266,09-OCT-20,2020,,08-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,200000,23-OCT-20,283742,S,Digital Advertising,AB PARTNERS PBC,1466866,N,SE.24649,202010269336588655,26-OCT-20,2020,,25-OCT-20
P80000722,"Biden, Joseph",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,,00,P,DEMOCRATIC PARTY,48093.24,31-OCT-20,621835.24,S,Digital Advertising,AB PARTNERS PBC,1470736,N,SE.24657,202011019336679628,01-NOV-20,2020,,31-OCT-20
H8TX23121,"Jones, Gina Ortiz",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,TX,23,H,DEMOCRATIC PARTY,8979,08-SEP-20,9147.75,S,Digital Advertising,A/B Partners,1445692,N,SE.4159,202010099285100271,09-OCT-20,2020,,08-OCT-20
H0TX02106,"LADJEVARDIAN, SIMA",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,TX,02,H,DEMOCRATIC PARTY,6398.25,08-SEP-20,6567,S,Digital Advertising,A/B Partners,1445692,N,SE.4163,202010099285100273,09-OCT-20,2020,,08-OCT-20
H8FL26039,"MUCARSEL-POWELL, DEBBIE",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,FL,26,H,DEMOCRATIC PARTY,10634.98,08-SEP-20,11309.98,S,Digital Advertising,A/B Partners,1445692,N,SE.4157,202010099285100270,09-OCT-20,2020,,08-OCT-20
S8GA00180,"Ossoff, Jon",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,GA,00,S,DEMOCRATIC PARTY,131232.75,08-SEP-20,263140.5,S,Digital Advertising,A/B Partners,1445692,N,SE.4161,202010099285100272,09-OCT-20,2020,,08-OCT-20
H0NC08254,"TIMMONS-GOODSON, PATRICIA",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,NC,08,H,DEMOCRATIC PARTY,16712.5,08-SEP-20,17387.5,S,Digital Advertising,A/B Partners,1445692,N,SE.4156,202010099285100270,09-OCT-20,2020,,08-OCT-20
H0TX24175,"VALENZUELA, CANDACE",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,TX,24,H,DEMOCRATIC PARTY,8022.46,08-SEP-20,8191.21,S,Digital Advertising,A/B Partners,1445692,N,SE.4158,202010099285100271,09-OCT-20,2020,,08-OCT-20
S0GA00559,"Warnock, Raphael",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,G,GA,00,S,DEMOCRATIC PARTY,131232.75,08-SEP-20,131570.25,S,Digital Advertising,A/B Partners,1445692,N,SE.4160,202010099285100272,09-OCT-20,2020,,08-OCT-20
P80001571,"Trump, Donald",C00759449,2034 PAC,G,,00,P,REPUBLICAN PARTY,720,29-OCT-20,2526.56,O,Digital Advertising,"Gold, Matthew",1469711,N,E-26,202010309336673469,30-OCT-20,2020,,29-OCT-20
P80001571,"Trump, Donald",C00759449,2034 PAC,G,,00,P,REPUBLICAN PARTY,600,29-OCT-20,2526.56,O,Digital Advertising,"Gold, Matthew",1469711,N,E-23,202010309336673469,30-OCT-20,2020,,29-OCT-20
P80001571,"Trump, Donald",C00759449,2034 PAC,G,,00,P,REPUBLICAN PARTY,300,29-OCT-20,2526.56,O,Digital Advertising,"Gold, Matthew",1469711,N,E-29,202010309336673470,30-OCT-20,2020,,29-OCT-20
P80001571,"Trump, Donald",C00759449,2034 PAC,G,,00,P,REPUBLICAN PARTY,2100,01-NOV-20,4626.56,O,Digital Advertising,"Gold, Matthew",1470898,N,E-32,202011029336680554,02-NOV-20,2020,,01-NOV-20
,"Biden, Joseph",C90020389,215 PEOPLE'S ALLIANCE,G,PA,00,P,,169.27,30-OCT-20,7447.88,S,Canvassing,"Pourzand, Caroline",1504419,N,F57.000003,202103169440548414,16-MAR-21,2020,,
P80000722,"Biden, Joseph",C90020389,215 PEOPLE'S ALLIANCE,G,PA,00,P,DEMOCRATIC PARTY,1894.53,18-OCT-20,0,S,event supplies,East Coast Event Rental,1519287,N,F57.000004,202106099448892696,09-JUN-21,2020,,
,"Biden, Joseph",C90020389,215 People's Alliance,G,PA,00,P,,849.74,21-OCT-20,4248.7,S,Canvassing,"Fritz, Caitlin",1464339,N,F57.000002,202010239336471598,22-OCT-20,2020,,
,"Biden, Joseph",C90020389,215 People's Alliance,G,PA,00,P,,3398.96,21-OCT-20,16995,S,Canvassing,"Kuriakose, Kevin",1464339,N,F57.000003,202010239336471598,22-OCT-20,2020,,
,"Biden, Joseph",C90020389,215 People's Alliance,G,PA,00,P,,2549.22,21-OCT-20,2549.22,S,Canvassing,"Pourzand, Caroline",1464339,N,F57.000004,202010239336471598,22-OCT-20,2020,,
,"Schanbacher, Kristine",C00739904,21ST CENTURY LEADERSHIP,P,IL,07,H,,10472.49,10-MAR-20,10472.49,S,Mailing Production (Estimate),Chi Town Printing Inc,1389144,N,WFT20202112029-1,202003119203822799,11-MAR-20,2020,,11-MAR-20
,"Schanbacher, Kristine",C00739904,21ST CENTURY LEADERSHIP,P,IL,07,H,,1400,13-MAR-20,11872.49,S,Digital Advertising,GTO Strategies LLC,1389609,N,WFT202021485-1,202003149203832238,14-MAR-20,2020,,13-MAR-20
,"Schanbacher, Kristine",C00739904,21ST CENTURY LEADERSHIP,P,IL,07,H,,10472.49,10-MAR-20,10472.49,S,Mailing Production (Estimate),Chi Town Printing Inc,1431301,A1,WFT20202112029-1,202008099261284688,09-AUG-20,2020,1389144,11-MAR-20
H0TX10216,"Gandhi, Pritesh",C00633248,314 Action Fund,P,TX,10,H,DEMOCRATIC PARTY,19500,07-FEB-20,19500,S,Digital Advertising,Wavelength Strategy Inc.,1381301,N,VNV4WA0AYS8,202002099186488394,09-FEB-20,2020,,07-FEB-20
H0TX10216,"Gandhi, Pritesh",C00633248,314 Action Fund,P,TX,10,H,DEMOCRATIC PARTY,20000,21-FEB-20,275140.96,S,Digital Advertising,Wavelength Strategy Inc.,1385665,N,VNV4WA0DDF6,202002229203315481,22-FEB-20,2020,,21-FEB-20
H0TX10216,"Gandhi, Pritesh",C00633248,314 Action Fund,P,TX,10,H,DEMOCRATIC PARTY,20000,14-FEB-20,194706.58,S,Digital Advertising,Wavelength Strategy Inc.,1382398,N,VNV4WA0CPN6,202002159186505818,15-FEB-20,2020,,14-FEB-20
H0VA05160,"Good, Robert",C00633248,314 Action Fund,G,VA,05,H,REPUBLICAN PARTY,5076.93,,2449213.61,O,Digital Advertising,"Deliver Strategies, LLC",1469649,N,VNV4WA1FR33,202010309336673126,30-OCT-20,2020,,29-OCT-20
H0VA05160,"Good, Robert",C00633248,314 Action Fund,G,VA,05,H,REPUBLICAN PARTY,20000,,2449213.61,O,Digital Advertising,SP Digital LLC,1469649,N,VNV4WA1FR59,202010309336673126,30-OCT-20,2020,,29-OCT-20
H0NY01186,"Goroff, Nancy",C00633248,314 Action Fund,P,NY,01,H,DEMOCRATIC PARTY,42781.46,11-MAY-20,239526.24,S,Digital Advertising,Rising Tide Interactive,1405297,N,VNV4WA0S680,202005129232672930,12-MAY-20,2020,,11-MAY-20
H0NY01186,"Goroff, Nancy",C00633248,314 Action Fund,P,NY,01,H,DEMOCRATIC PARTY,44070.79,26-MAY-20,380169.42,S,Digital Advertising,Rising Tide Interactive,1408955,N,VNV4WA0V7B2,202005289239512991,28-MAY-20,2020,,26-MAY-20
