ALLEGANY,11868,22908,78,230,73,8453,389,"43,999",0,3021
ANNE ARUNDEL,175138,130762,650,2300,427,98350,3041,"410,668",0,33831
BALTIMORE CITY,303826,28218,903,1073,646,56663,3971,"395,300",2,26438
BALTIMORE CO.,311586,138270,903,2529,685,108672,5999,"568,644",0,39094
CALVERT,24005,28073,94,415,70,15489,556,"68,702",0,5892
CAROLINE,6287,10617,34,110,39,4537,164,"21,788",0,1324
CARROLL,33890,64368,192,802,101,28865,1051,"129,269",0,7190
CECIL,20849,32227,112,452,104,16672,685,"71,101",0,5855
CHARLES,74881,23460,131,428,142,22176,862,"122,080",1,9970
DORCHESTER,9655,9016,22,110,34,3824,189,"22,850",0,1081
FREDERICK,77282,68809,332,1168,176,49092,1087,"197,946",0,13011
GARRETT,3739,13711,25,105,20,2841,158,"20,599",0,1237
HARFORD,65717,80695,248,1196,200,41705,1647,"191,408",0,13412
HOWARD,122194,49372,357,903,130,57367,2030,"232,353",0,14607
KENT,5868,5254,20,68,22,2594,111,"13,937",0,871
MONTGOMERY,413365,98170,1128,2266,445,160577,5580,"681,531",0,75994
PR. GEORGE'S,464963,37836,783,1332,593,86155,10872,"602,534",0,40096
QUEEN ANNE'S,11202,19746,47,224,34,8082,299,"39,634",0,2005
ST. MARY'S,25640,32009,111,478,87,17028,660,"76,013",1,7741
SOMERSET,5613,6024,23,62,15,2303,113,"14,153",0,558
TALBOT,10865,11760,41,141,20,5682,227,"28,736",0,1463
WASHINGTON,31626,44282,169,631,126,22325,876,"100,035",0,10973
WICOMICO,26948,24081,107,354,109,13629,677,"65,905",0,4498
WORCESTER,13954,19237,55,214,35,8492,465,"42,452",0,3122
TOTAL,"2,250,961","998,905","6,565","17,591","4,333","841,573","41,709","4,161,637",4,"323,284"
