state,Total,Undisbursed
IL,11080,1713
GA,8865,1217
CA,8837,1200
TX,7479,1022
FL,6522,745
NY,3854,594
OH,3363,456
MI,2870,429
LA,2862,454
TN,2448,385
PA,2413,306
NV,1874,296
IN,1862,282
AL,1830,226
NC,1702,186
MS,1644,177
SC,1539,198
MO,1471,186
AZ,1395,178
MD,1327,162
NJ,1322,145
WI,1271,209
VA,1265,181
AR,1076,176
MA,891,67
MN,771,84
KY,648,48
WA,587,46
CT,585,50
OK,580,45
CO,546,53
IA,496,56
KS,454,33
OR,326,15
PR,323,10
DE,262,44
DC,259,46
NE,222,21
UT,214,15
NM,184,12
RI,174,15
WV,145,11
ID,133,2
ME,123,2
NH,108,2
HI,96,3
ND,79,2
SD,74,4
AK,67,7
MT,65,4
WY,34,4
VT,19,1
