match_county,state,kabbage_total,total,state_code,state_name,county_code,county,fips_code,percentage
TAYLOR,GA,18,251,13,Georgia,269,Taylor County,13269,7.171314741035857
GILPIN,CO,7,100,08,Colorado,047,Gilpin County,08047,7.000000000000001
LIBERTY,FL,6,88,12,Florida,077,Liberty County,12077,6.8181818181818175
DADE,GA,9,151,13,Georgia,083,Dade County,13083,5.960264900662252
FAYETTE,AL,14,253,01,Alabama,057,Fayette County,01057,5.533596837944664
WASHINGTON,LA,52,952,22,Louisiana,117,Washington Parish,22117,5.46218487394958
ROCKLAND,NY,491,9201,36,New York,087,Rockland County,36087,5.336376480817302
HAMPSHIRE,MA,146,2915,25,Massachusetts,015,Hampshire County,25015,5.008576329331047
SAINT LUCIE,FL,382,7657,12,Florida,111,St. Lucie County,12111,4.988899046624004
CLARION,PA,24,485,42,Pennsylvania,031,Clarion County,42031,4.948453608247423
SUSSEX,NJ,116,2351,34,New Jersey,037,Sussex County,34037,4.934070608251808
HANCOCK,GA,10,206,13,Georgia,141,Hancock County,13141,4.854368932038835
WAYNE,GA,23,476,13,Georgia,305,Wayne County,13305,4.831932773109244
CHARLOTTE,VA,8,169,51,Virginia,037,Charlotte County,51037,4.733727810650888
MARLBORO,SC,16,339,45,South Carolina,069,Marlboro County,45069,4.71976401179941
HENRY,VA,21,457,51,Virginia,089,Henry County,51089,4.595185995623632
OSCEOLA,FL,527,11758,12,Florida,097,Osceola County,12097,4.482054771219595
JONES,GA,22,497,13,Georgia,169,Jones County,13169,4.426559356136821
POLK,FL,593,13474,12,Florida,105,Polk County,12105,4.401068724951759
TWIGGS,GA,9,206,13,Georgia,289,Twiggs County,13289,4.368932038834951
QUEENS,NY,2775,65635,36,New York,081,Queens County,36081,4.227927173002209
OKEECHOBEE,FL,25,594,12,Florida,093,Okeechobee County,12093,4.208754208754209
KINGS,NY,3132,74450,36,New York,047,Kings County,36047,4.206850235057085
BAKER,FL,10,240,12,Florida,003,Baker County,12003,4.166666666666666
PATRICK,VA,8,192,51,Virginia,141,Patrick County,51141,4.166666666666666
MIAMI-DADE,FL,6341,152811,12,Florida,086,Miami-Dade County,12086,4.149570384330971
WINSTON,AL,15,364,01,Alabama,133,Winston County,01133,4.1208791208791204
PULASKI,GA,11,267,13,Georgia,235,Pulaski County,13235,4.119850187265917
PALM BEACH,FL,2449,59740,12,Florida,099,Palm Beach County,12099,4.099430867090727
HUDSON,NJ,595,14680,34,New Jersey,017,Hudson County,34017,4.053133514986376
OCEAN,NJ,482,11936,34,New Jersey,029,Ocean County,34029,4.0382037533512065
BROWARD,FL,3766,93700,12,Florida,011,Broward County,12011,4.019210245464247
BURKE,GA,25,627,13,Georgia,033,Burke County,13033,3.9872408293460926
ORANGE,FL,2101,54231,12,Florida,095,Orange County,12095,3.874167911342221
ROBERTSON,TN,40,1046,47,Tennessee,147,Robertson County,47147,3.824091778202677
ROCKDALE,GA,207,5431,13,Georgia,247,Rockdale County,13247,3.811452771128706
MANASSAS CITY,VA,39,1029,51,Virginia,683,Manassas city,51683,3.7900874635568513
JIM HOGG,TX,2,53,48,Texas,247,Jim Hogg County,48247,3.7735849056603774
HAMBLEN,TN,28,750,47,Tennessee,063,Hamblen County,47063,3.733333333333334
FAYETTE,GA,155,4155,13,Georgia,113,Fayette County,13113,3.730445246690734
