project_county_name,project_state,kabbage_loans,total_loans,pct_kabbage,fips_code
ABBEVILLE,SC,8,324,2.4691358024691357,45001
ACADIA,LA,8,1306,0.6125574272588056,22001
ACCOMACK,VA,1,462,0.21645021645021645,51001
ADA,ID,51,11258,0.45301119204121515,16001
ADAIR,KY,2,962,0.2079002079002079,21001
ADAMS,CO,146,7481,1.9516107472263067,08001
ADAMS,IL,7,2240,0.3125,17001
ADAMS,IN,2,563,0.3552397868561279,18001
ADAMS,MS,25,1096,2.281021897810219,28001
ADAMS,OH,4,432,0.9259259259259258,39001
ADAMS,PA,5,1313,0.38080731150038083,42001
ADAMS,WA,1,313,0.3194888178913738,53001
AIKEN,SC,34,2415,1.4078674948240166,45003
ALACHUA,FL,156,5540,2.815884476534296,12001
ALBANY,NY,64,6413,0.9979728676126618,36001
ALBANY,WY,3,724,0.4143646408839779,56001
ALBEMARLE,VA,26,1803,1.4420410427066,51003
ALCONA,MI,2,134,1.4925373134328357,26001
ALCORN,MS,1,944,0.1059322033898305,28003
ALEUTIANS EAST,AK,1,72,1.3888888888888888,02013
ALEUTIANS WEST,AK,1,47,2.127659574468085,NA
ALEXANDRIA CITY,VA,155,4860,3.189300411522634,51510
ALLAMAKEE,IA,4,973,0.41109969167523125,19005
ALLEGAN,MI,9,1637,0.5497861942577886,26005
ALLEGANY,MD,11,880,1.25,24001
ALLEGANY,NY,5,393,1.2722646310432568,36003
ALLEGHENY,PA,246,24345,1.0104744300677757,42003
ALLEN,IN,66,6973,0.9465079592714757,18003
ALLEN,KS,6,421,1.4251781472684086,20001
ALLEN,KY,1,405,0.24691358024691357,21003
ALLEN,LA,4,236,1.694915254237288,22003
ALLEN,OH,5,1891,0.26441036488630354,39003
ALLENDALE,SC,1,226,0.4424778761061947,45005
ALPENA,MI,3,465,0.6451612903225806,26007
AMELIA,VA,2,230,0.8695652173913043,51007
AMHERST,VA,4,258,1.550387596899225,51009
AMITE,MS,2,360,0.5555555555555556,28005
ANCHORAGE,AK,47,6315,0.7442596991290579,NA
ANDERSON,KS,1,436,0.22935779816513763,20003
ANDERSON,KY,3,305,0.9836065573770493,21005
ANDERSON,SC,31,2921,1.0612803834303322,45007
ANDERSON,TN,14,961,1.45681581685744,47001
ANDERSON,TX,6,739,0.8119079837618403,48001
ANDREWS,TX,1,401,0.24937655860349126,48003
ANDROSCOGGIN,ME,10,1682,0.5945303210463734,23001
ANGELINA,TX,10,1527,0.6548788474132285,48005
ANNE ARUNDEL,MD,257,11750,2.1872340425531918,24003
ANOKA,MN,50,5853,0.8542627712284299,27003
ANTRIM,MI,2,357,0.5602240896358543,26009
APACHE,AZ,3,210,1.4285714285714286,04001
APPLING,GA,3,516,0.5813953488372093,13001
APPOMATTOX,VA,3,253,1.185770750988142,51011
ARANSAS,TX,4,444,0.9009009009009009,48007
ARAPAHOE,CO,269,15751,1.707828074407974,08005
ARCHER,TX,2,318,0.628930817610063,48009
ARKANSAS,AR,2,579,0.3454231433506045,05001
ARLINGTON,VA,109,4673,2.3325486839289535,51013
ARMSTRONG,PA,5,734,0.6811989100817438,42005
AROOSTOOK,ME,1,1843,0.05425935973955508,23003
ASCENSION,LA,33,3808,0.8665966386554622,22005
ASHLAND,OH,6,876,0.684931506849315,39005
ASHLAND,WI,2,384,0.5208333333333333,55003
ASHLEY,AR,4,422,0.9478672985781991,05003
ASHTABULA,OH,4,1044,0.38314176245210724,39007
ASSUMPTION,LA,4,902,0.4434589800443459,22007
ATASCOSA,TX,8,722,1.10803324099723,48013
ATLANTIC,NJ,97,4985,1.945837512537613,34001
ATTALA,MS,5,445,1.1235955056179776,28007
AUGLAIZE,OH,2,1018,0.19646365422396855,39011
AUGUSTA,VA,1,936,0.10683760683760685,51015
AUSTIN,TX,6,842,0.7125890736342043,48015
AUTAUGA,AL,5,909,0.5500550055005501,01001
AVOYELLES,LA,5,967,0.5170630816959669,22009
BACON,GA,1,383,0.26109660574412535,13005
BAILEY,TX,1,192,0.5208333333333333,48017
BAKER,FL,10,240,4.166666666666666,12003
BAKER,GA,3,109,2.7522935779816518,13007
BALDWIN,AL,63,5563,1.1324824734855294,01003
BALDWIN,GA,43,1214,3.5420098846787478,13009
BALLARD,KY,1,183,0.546448087431694,21007
BALTIMORE,MD,476,19410,2.452344152498712,24005
BALTIMORE CITY,MD,397,13546,2.9307544662631035,24510
BAMBERG,SC,7,246,2.8455284552845526,45009
BANDERA,TX,3,338,0.8875739644970414,48019
BANKS,GA,3,273,1.098901098901099,13011
BANNOCK,ID,2,1298,0.15408320493066258,16005
BARBOUR,AL,19,735,2.585034013605442,01005
BARBOUR,WV,1,160,0.625,54001
BARNSTABLE,MA,27,6743,0.40041524543971524,25001
BARNWELL,SC,4,351,1.1396011396011396,45011
BARREN,KY,1,1368,0.07309941520467836,21009
BARRON,WI,4,1630,0.245398773006135,55005
BARROW,GA,45,1523,2.954694681549573,13013
BARRY,MI,3,810,0.3703703703703704,26015
BARTHOLOMEW,IN,1,1176,0.08503401360544217,18005
BARTOW,GA,35,2472,1.4158576051779936,13015
BASTROP,TX,13,1156,1.124567474048443,48021
BATH,KY,1,299,0.33444816053511706,21011
BATH,VA,2,63,3.1746031746031744,51017
BAXTER,AR,1,779,0.12836970474967907,05005
BAY,FL,85,4101,2.0726652036088757,12005
BAY,MI,8,1484,0.5390835579514826,26017
BEAUFORT,SC,68,4362,1.5589179275561669,45013
BEAUREGARD,LA,2,458,0.43668122270742354,22011
BEAVER,PA,8,2050,0.3902439024390244,42007
BEAVER,UT,1,181,0.5524861878453038,49001
BECKER,MN,2,1214,0.16474464579901155,27005
BEDFORD,PA,4,784,0.5102040816326531,42009
BEDFORD,TN,3,773,0.38809831824062097,47003
BEDFORD,VA,13,1067,1.218369259606373,51019
BEE,TX,9,365,2.4657534246575343,48025
BELKNAP,NH,13,1323,0.9826152683295541,33001
BELL,KY,1,265,0.37735849056603776,21013
BELL,TX,78,5537,1.4087050749503343,48027
BELMONT,OH,5,786,0.6361323155216284,39013
BEN HILL,GA,10,535,1.8691588785046727,13017
BENTON,AR,22,4665,0.4715969989281886,05007
BENTON,IA,4,1038,0.3853564547206166,19011
BENTON,IN,1,241,0.4149377593360996,18007
BENTON,MN,4,1052,0.38022813688212925,27009
BENTON,MO,2,618,0.3236245954692557,29015
BENTON,MS,1,285,0.3508771929824561,28009
BENTON,OR,5,1312,0.38109756097560976,41003
BENTON,TN,1,292,0.3424657534246575,47005
BENTON,WA,30,2746,1.0924981791697013,53005
BENZIE,MI,3,299,1.0033444816053512,26019
BERGEN,NJ,910,30722,2.9620467417485843,34003
BERKELEY,SC,138,3955,3.4892541087231352,45015
BERKELEY,WV,15,1207,1.2427506213753108,54003
BERKS,PA,81,6295,1.2867355043685464,42011
BERKSHIRE,MA,31,2885,1.074523396880416,25003
BERNALILLO,NM,124,10020,1.2375249500998005,35001
BERRIEN,GA,5,423,1.1820330969267139,13019
BERRIEN,MI,31,3190,0.9717868338557993,26021
BEXAR,TX,482,32968,1.4620237806357679,48029
BIBB,AL,6,294,2.0408163265306123,01007
BIBB,GA,147,7116,2.0657672849915683,13021
BIENVILLE,LA,2,299,0.6688963210702341,22013
BINGHAM,ID,2,883,0.22650056625141565,16011
BLACK HAWK,IA,25,3065,0.8156606851549755,19013
BLACKFORD,IN,1,120,0.8333333333333334,18009
BLAINE,ID,3,1287,0.2331002331002331,16013
BLAIR,PA,3,1903,0.1576458223857068,42013
BLANCO,TX,2,297,0.6734006734006733,48031
BLECKLEY,GA,5,300,1.6666666666666667,13023
BLEDSOE,TN,1,291,0.3436426116838488,47007
BLOUNT,AL,3,691,0.43415340086830684,01009
BLOUNT,TN,25,1832,1.3646288209606987,47009
BLUE EARTH,MN,5,2076,0.24084778420038533,27013
BOLIVAR,MS,7,1387,0.5046863734679163,28011
BONNER,ID,7,946,0.7399577167019027,16017
BONNEVILLE,ID,4,2475,0.1616161616161616,16019
BOONE,AR,2,1082,0.18484288354898337,05009
BOONE,IA,2,746,0.2680965147453083,19015
BOONE,IL,23,835,2.754491017964072,17007
BOONE,IN,11,1402,0.7845934379457917,18011
BOONE,KY,29,2001,1.4492753623188406,21015
BOONE,MO,24,3531,0.6796941376380629,29019
BOONE,WV,3,98,3.061224489795918,54005
BOSQUE,TX,2,380,0.5263157894736842,48035
BOSSIER,LA,56,3080,1.8181818181818181,22015
BOTETOURT,VA,9,490,1.8367346938775513,51023
BOULDER,CO,360,10200,3.5294117647058822,08013
BOUNDARY,ID,4,161,2.484472049689441,16021
BOURBON,KY,2,537,0.37243947858473,21017
BOWIE,TX,11,1960,0.5612244897959183,48037
BOX BUTTE,NE,1,388,0.25773195876288657,31013
BOX ELDER,UT,3,1005,0.2985074626865672,49003
BOYD,KY,2,723,0.2766251728907331,21019
BOYLE,KY,5,644,0.7763975155279503,21021
BRADFORD,FL,5,273,1.8315018315018317,12007
BRADFORD,PA,9,922,0.9761388286334056,42015
BRADLEY,AR,5,294,1.7006802721088436,05011
BRADLEY,TN,16,1556,1.0282776349614395,47011
BRANCH,MI,3,688,0.436046511627907,26023
BRANTLEY,GA,3,211,1.4218009478672986,13025
BRAZORIA,TX,135,7171,1.882582624459629,48039
BRAZOS,TX,28,3625,0.7724137931034483,48041
BRECKINRIDGE,KY,1,542,0.18450184501845018,21027
BREMER,IA,2,1089,0.18365472910927455,19017
BREVARD,FL,314,10857,2.8921433176752323,12009
BRISTOL,MA,81,9824,0.8245114006514658,25005
BRISTOL,VA,2,303,0.6600660066006601,NA
BRONX,NY,1126,33794,3.331952417588921,36005
BROOKS,GA,5,397,1.2594458438287155,13027
BROOME,NY,23,3052,0.7536041939711665,36007
