project_county_name,project_state,kabbage,total,percent_kabbage,state_code,state_name,county_code,county,fips_code
ABBEVILLE,SC,8,324,2.4691358024691357,45,South Carolina,001,Abbeville County,45001
ACADIA,LA,8,1306,0.6125574272588056,22,Louisiana,001,Acadia Parish,22001
ACCOMACK,VA,1,462,0.21645021645021645,51,Virginia,001,Accomack County,51001
ADA,ID,51,11258,0.45301119204121515,16,Idaho,001,Ada County,16001
ADAIR,KY,2,962,0.2079002079002079,21,Kentucky,001,Adair County,21001
ADAMS,CO,146,7481,1.9516107472263067,08,Colorado,001,Adams County,08001
ADAMS,IL,7,2240,0.3125,17,Illinois,001,Adams County,17001
ADAMS,IN,2,563,0.3552397868561279,18,Indiana,001,Adams County,18001
ADAMS,MS,25,1096,2.281021897810219,28,Mississippi,001,Adams County,28001
ADAMS,OH,4,432,0.9259259259259258,39,Ohio,001,Adams County,39001
ADAMS,PA,5,1313,0.38080731150038083,42,Pennsylvania,001,Adams County,42001
ADAMS,WA,1,313,0.3194888178913738,53,Washington,001,Adams County,53001
AIKEN,SC,34,2415,1.4078674948240166,45,South Carolina,003,Aiken County,45003
ALACHUA,FL,156,5540,2.815884476534296,12,Florida,001,Alachua County,12001
ALBANY,NY,64,6413,0.9979728676126618,36,New York,001,Albany County,36001
ALBANY,WY,3,724,0.4143646408839779,56,Wyoming,001,Albany County,56001
ALBEMARLE,VA,26,1803,1.4420410427066,51,Virginia,003,Albemarle County,51003
ALCONA,MI,2,134,1.4925373134328357,26,Michigan,001,Alcona County,26001
ALCORN,MS,1,944,0.1059322033898305,28,Mississippi,003,Alcorn County,28003
ALEUTIANS EAST,AK,1,72,1.3888888888888888,02,Alaska,013,Aleutians East Borough,02013
ALEXANDRIA CITY,VA,155,4860,3.189300411522634,51,Virginia,510,Alexandria city,51510
ALLAMAKEE,IA,4,973,0.41109969167523125,19,Iowa,005,Allamakee County,19005
ALLEGAN,MI,9,1637,0.5497861942577886,26,Michigan,005,Allegan County,26005
ALLEGANY,MD,11,880,1.25,24,Maryland,001,Allegany County,24001
ALLEGANY,NY,5,393,1.2722646310432568,36,New York,003,Allegany County,36003
ALLEGHENY,PA,246,24345,1.0104744300677757,42,Pennsylvania,003,Allegheny County,42003
ALLEN,IN,66,6973,0.9465079592714757,18,Indiana,003,Allen County,18003
ALLEN,KS,6,421,1.4251781472684086,20,Kansas,001,Allen County,20001
ALLEN,KY,1,405,0.24691358024691357,21,Kentucky,003,Allen County,21003
ALLEN,LA,4,236,1.694915254237288,22,Louisiana,003,Allen Parish,22003
ALLEN,OH,5,1891,0.26441036488630354,39,Ohio,003,Allen County,39003
ALLENDALE,SC,1,226,0.4424778761061947,45,South Carolina,005,Allendale County,45005
ALPENA,MI,3,465,0.6451612903225806,26,Michigan,007,Alpena County,26007
AMELIA,VA,2,230,0.8695652173913043,51,Virginia,007,Amelia County,51007
AMHERST,VA,4,258,1.550387596899225,51,Virginia,009,Amherst County,51009
AMITE,MS,2,360,0.5555555555555556,28,Mississippi,005,Amite County,28005
ANDERSON,KS,1,436,0.22935779816513763,20,Kansas,003,Anderson County,20003
ANDERSON,KY,3,305,0.9836065573770493,21,Kentucky,005,Anderson County,21005
ANDERSON,SC,31,2921,1.0612803834303322,45,South Carolina,007,Anderson County,45007
ANDERSON,TN,14,961,1.45681581685744,47,Tennessee,001,Anderson County,47001
ANDERSON,TX,6,739,0.8119079837618403,48,Texas,001,Anderson County,48001
ANDREWS,TX,1,401,0.24937655860349126,48,Texas,003,Andrews County,48003
ANDROSCOGGIN,ME,10,1682,0.5945303210463734,23,Maine,001,Androscoggin County,23001
ANGELINA,TX,10,1527,0.6548788474132285,48,Texas,005,Angelina County,48005
ANNE ARUNDEL,MD,257,11750,2.1872340425531918,24,Maryland,003,Anne Arundel County,24003
ANOKA,MN,50,5853,0.8542627712284299,27,Minnesota,003,Anoka County,27003
ANTRIM,MI,2,357,0.5602240896358543,26,Michigan,009,Antrim County,26009
APACHE,AZ,3,210,1.4285714285714286,04,Arizona,001,Apache County,04001
APPLING,GA,3,516,0.5813953488372093,13,Georgia,001,Appling County,13001
APPOMATTOX,VA,3,253,1.185770750988142,51,Virginia,011,Appomattox County,51011
ARANSAS,TX,4,444,0.9009009009009009,48,Texas,007,Aransas County,48007
ARAPAHOE,CO,269,15751,1.707828074407974,08,Colorado,005,Arapahoe County,08005
ARCHER,TX,2,318,0.628930817610063,48,Texas,009,Archer County,48009
ARKANSAS,AR,2,579,0.3454231433506045,05,Arkansas,001,Arkansas County,05001
ARLINGTON,VA,109,4673,2.3325486839289535,51,Virginia,013,Arlington County,51013
ARMSTRONG,PA,5,734,0.6811989100817438,42,Pennsylvania,005,Armstrong County,42005
AROOSTOOK,ME,1,1843,0.05425935973955508,23,Maine,003,Aroostook County,23003
ASCENSION,LA,33,3808,0.8665966386554622,22,Louisiana,005,Ascension Parish,22005
ASHLAND,OH,6,876,0.684931506849315,39,Ohio,005,Ashland County,39005
ASHLAND,WI,2,384,0.5208333333333333,55,Wisconsin,003,Ashland County,55003
ASHLEY,AR,4,422,0.9478672985781991,05,Arkansas,003,Ashley County,05003
ASHTABULA,OH,4,1044,0.38314176245210724,39,Ohio,007,Ashtabula County,39007
ASSUMPTION,LA,4,902,0.4434589800443459,22,Louisiana,007,Assumption Parish,22007
ATASCOSA,TX,8,722,1.10803324099723,48,Texas,013,Atascosa County,48013
ATLANTIC,NJ,97,4985,1.945837512537613,34,New Jersey,001,Atlantic County,34001
ATTALA,MS,5,445,1.1235955056179776,28,Mississippi,007,Attala County,28007
AUGLAIZE,OH,2,1018,0.19646365422396855,39,Ohio,011,Auglaize County,39011
AUGUSTA,VA,1,936,0.10683760683760685,51,Virginia,015,Augusta County,51015
AUSTIN,TX,6,842,0.7125890736342043,48,Texas,015,Austin County,48015
