County,For,Against
Allegany,14202,12613
Anne Arundel,187238,74281
Baltimore City,137597,23135
Baltimore County,250643,82892
Calvert,28497,16219
Caroline,8180,5902
Carroll,48055,35318
Cecil,23467,15231
Charles,56245,17315
Dorchester,8138,4553
Frederick,82518,42577
Garrett,5488,7702
Harford,81132,44454
Howard,112526,32179
Kent,6498,2713
Montgomery,309553,72717
Prince George's,260073,37954
Queen Anne's,15629,10267
Saint Mary's,30222,18714
Somerset,4022,3568
Talbot,13007,6703
Washington,39455,24195
Wicomico,23923,14499
Worcester,16272,10112
