project_county_name,project_state,total_kabbage_loans,total_loans,percent_kabbage_loans,state,state_code,state_name,county_code,county,fips_code
ABBEVILLE,SC,8,324,2.4691358024691357,SC,45,South Carolina,001,Abbeville County,45001
ACADIA,LA,8,1306,0.6125574272588056,LA,22,Louisiana,001,Acadia Parish,22001
ACCOMACK,VA,1,462,0.21645021645021645,VA,51,Virginia,001,Accomack County,51001
ADA,ID,51,11258,0.45301119204121515,ID,16,Idaho,001,Ada County,16001
ADAIR,KY,2,962,0.2079002079002079,IA,19,Iowa,001,Adair County,19001
ADAIR,KY,2,962,0.2079002079002079,KY,21,Kentucky,001,Adair County,21001
ADAIR,KY,2,962,0.2079002079002079,MO,29,Missouri,001,Adair County,29001
ADAIR,KY,2,962,0.2079002079002079,OK,40,Oklahoma,001,Adair County,40001
ADAMS,CO,146,7481,1.9516107472263067,CO,08,Colorado,001,Adams County,08001
ADAMS,CO,146,7481,1.9516107472263067,ID,16,Idaho,003,Adams County,16003
ADAMS,CO,146,7481,1.9516107472263067,IL,17,Illinois,001,Adams County,17001
ADAMS,CO,146,7481,1.9516107472263067,IN,18,Indiana,001,Adams County,18001
ADAMS,CO,146,7481,1.9516107472263067,IA,19,Iowa,003,Adams County,19003
ADAMS,CO,146,7481,1.9516107472263067,MS,28,Mississippi,001,Adams County,28001
ADAMS,CO,146,7481,1.9516107472263067,NE,31,Nebraska,001,Adams County,31001
ADAMS,CO,146,7481,1.9516107472263067,ND,38,North Dakota,001,Adams County,38001
ADAMS,CO,146,7481,1.9516107472263067,OH,39,Ohio,001,Adams County,39001
ADAMS,CO,146,7481,1.9516107472263067,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,CO,146,7481,1.9516107472263067,WA,53,Washington,001,Adams County,53001
ADAMS,CO,146,7481,1.9516107472263067,WI,55,Wisconsin,001,Adams County,55001
ADAMS,IL,7,2240,0.3125,CO,08,Colorado,001,Adams County,08001
ADAMS,IL,7,2240,0.3125,ID,16,Idaho,003,Adams County,16003
ADAMS,IL,7,2240,0.3125,IL,17,Illinois,001,Adams County,17001
ADAMS,IL,7,2240,0.3125,IN,18,Indiana,001,Adams County,18001
ADAMS,IL,7,2240,0.3125,IA,19,Iowa,003,Adams County,19003
ADAMS,IL,7,2240,0.3125,MS,28,Mississippi,001,Adams County,28001
ADAMS,IL,7,2240,0.3125,NE,31,Nebraska,001,Adams County,31001
ADAMS,IL,7,2240,0.3125,ND,38,North Dakota,001,Adams County,38001
ADAMS,IL,7,2240,0.3125,OH,39,Ohio,001,Adams County,39001
ADAMS,IL,7,2240,0.3125,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,IL,7,2240,0.3125,WA,53,Washington,001,Adams County,53001
ADAMS,IL,7,2240,0.3125,WI,55,Wisconsin,001,Adams County,55001
ADAMS,IN,2,563,0.3552397868561279,CO,08,Colorado,001,Adams County,08001
ADAMS,IN,2,563,0.3552397868561279,ID,16,Idaho,003,Adams County,16003
ADAMS,IN,2,563,0.3552397868561279,IL,17,Illinois,001,Adams County,17001
ADAMS,IN,2,563,0.3552397868561279,IN,18,Indiana,001,Adams County,18001
ADAMS,IN,2,563,0.3552397868561279,IA,19,Iowa,003,Adams County,19003
ADAMS,IN,2,563,0.3552397868561279,MS,28,Mississippi,001,Adams County,28001
ADAMS,IN,2,563,0.3552397868561279,NE,31,Nebraska,001,Adams County,31001
ADAMS,IN,2,563,0.3552397868561279,ND,38,North Dakota,001,Adams County,38001
ADAMS,IN,2,563,0.3552397868561279,OH,39,Ohio,001,Adams County,39001
ADAMS,IN,2,563,0.3552397868561279,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,IN,2,563,0.3552397868561279,WA,53,Washington,001,Adams County,53001
ADAMS,IN,2,563,0.3552397868561279,WI,55,Wisconsin,001,Adams County,55001
ADAMS,MS,25,1096,2.281021897810219,CO,08,Colorado,001,Adams County,08001
ADAMS,MS,25,1096,2.281021897810219,ID,16,Idaho,003,Adams County,16003
ADAMS,MS,25,1096,2.281021897810219,IL,17,Illinois,001,Adams County,17001
ADAMS,MS,25,1096,2.281021897810219,IN,18,Indiana,001,Adams County,18001
ADAMS,MS,25,1096,2.281021897810219,IA,19,Iowa,003,Adams County,19003
ADAMS,MS,25,1096,2.281021897810219,MS,28,Mississippi,001,Adams County,28001
ADAMS,MS,25,1096,2.281021897810219,NE,31,Nebraska,001,Adams County,31001
ADAMS,MS,25,1096,2.281021897810219,ND,38,North Dakota,001,Adams County,38001
ADAMS,MS,25,1096,2.281021897810219,OH,39,Ohio,001,Adams County,39001
ADAMS,MS,25,1096,2.281021897810219,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,MS,25,1096,2.281021897810219,WA,53,Washington,001,Adams County,53001
ADAMS,MS,25,1096,2.281021897810219,WI,55,Wisconsin,001,Adams County,55001
ADAMS,OH,4,432,0.9259259259259258,CO,08,Colorado,001,Adams County,08001
ADAMS,OH,4,432,0.9259259259259258,ID,16,Idaho,003,Adams County,16003
ADAMS,OH,4,432,0.9259259259259258,IL,17,Illinois,001,Adams County,17001
ADAMS,OH,4,432,0.9259259259259258,IN,18,Indiana,001,Adams County,18001
ADAMS,OH,4,432,0.9259259259259258,IA,19,Iowa,003,Adams County,19003
ADAMS,OH,4,432,0.9259259259259258,MS,28,Mississippi,001,Adams County,28001
ADAMS,OH,4,432,0.9259259259259258,NE,31,Nebraska,001,Adams County,31001
ADAMS,OH,4,432,0.9259259259259258,ND,38,North Dakota,001,Adams County,38001
ADAMS,OH,4,432,0.9259259259259258,OH,39,Ohio,001,Adams County,39001
ADAMS,OH,4,432,0.9259259259259258,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,OH,4,432,0.9259259259259258,WA,53,Washington,001,Adams County,53001
ADAMS,OH,4,432,0.9259259259259258,WI,55,Wisconsin,001,Adams County,55001
ADAMS,PA,5,1313,0.38080731150038083,CO,08,Colorado,001,Adams County,08001
ADAMS,PA,5,1313,0.38080731150038083,ID,16,Idaho,003,Adams County,16003
ADAMS,PA,5,1313,0.38080731150038083,IL,17,Illinois,001,Adams County,17001
ADAMS,PA,5,1313,0.38080731150038083,IN,18,Indiana,001,Adams County,18001
ADAMS,PA,5,1313,0.38080731150038083,IA,19,Iowa,003,Adams County,19003
ADAMS,PA,5,1313,0.38080731150038083,MS,28,Mississippi,001,Adams County,28001
ADAMS,PA,5,1313,0.38080731150038083,NE,31,Nebraska,001,Adams County,31001
