County,DEM,REP,LIB,OTH,UNA,NLM,TOTAL
Allegany,"10,944","22,620",0,0,0,0,"33,564"
Anne Arundel,"172,447","128,755","1,472","2,496","60,210",32,"365,412"
Baltimore City,"295,959","28,477",0,0,0,0,"324,436"
Baltimore County,"305,598","137,037",0,0,0,0,"442,635"
Calvert,"23,431","27,980",459,731,"16,159",18,"68,778"
Caroline,"6,043","10,647",0,0,0,0,"16,690"
Carroll,"33,146","63,461",0,0,0,0,"96,607"
Cecil,"19,047","34,380",0,0,0,0,"53,427"
Charles,"74,650","23,001",439,"1,207","24,120",21,"123,438"
Dorchester,"9,490","9,225",46,94,"1,653",1,"20,509"
Frederick,"77,403","67,762","1,247","1,714","52,041",38,"200,205"
Garrett,"3,522","13,660",0,0,0,0,"17,182"
Harford,"64,176","80,295",0,0,0,0,"144,471"
Howard,"120,966","48,103",570,"1,389","38,466",25,"209,519"
Kent,"5,752","5,284",0,0,0,0,"11,036"
Montgomery,"404,689","97,939","2,380","7,162","168,540",121,"680,831"
Prince George's,"453,370","38,687",743,"5,595","46,595",38,"545,028"
Queen Anne's,"11,029","19,918",0,0,0,0,"30,947"
Saint Mary's,"24,778","31,906",494,840,"17,709",16,"75,743"
Somerset,"5,410","6,137",0,0,0,0,"11,547"
Talbot,"10,553","11,608",19,50,"1,035",0,"23,265"
Washington,"30,773","44,182",656,"1,185","23,540",7,"100,343"
Wicomico,"26,068","23,884",0,0,0,0,"49,952"
Worcester,"13,586","19,440",28,84,"1,397",1,"34,536"
TOTAL,"2,202,830","994,388","8,553","22,547","451,465",318,"3,680,101"
